7 6	
	 920.5888433 1585.332232 3824.662802 4454.348049 5565.783989 5529.90058
	 1116.778119 1760.069115 2695.017599 3371.502507 3647.556002 4374.081753
	 1946.387902 3939.014664 5664.370039 6996.118147 6319.144605 6348.857281
	 349.6083585 698.476518 1520.333097 1380.558824 1544.692223 1856.846841
	 159.507327 911.0049979 2151.08198 3485.879572 5971.664764 6896.557494
	 170.5653947 455.1343645 1438.523402 2833.637377 5510.128287 9687.735457
	 310.8893802 992.8493501 2180.530814 2516.17999 3168.812659 4922.719188
	7 6	
	 175.7352151 245.3516688 491.0639963 446.8659017 481.9749311 619.9961997
	 135.4941289 290.1520887 470.1530892 574.2274548 757.4023005 804.6478912
	 216.1444244 483.8601859 695.9915112 1017.591121 1173.81988 1071.032335
	 67.96012478 78.66522219 178.4215366 196.8104147 192.9663206 270.6885983
	 68.18222545 169.8455883 258.4622269 407.9294265 680.5847996 979.032151
	 39.6402565 101.5862234 195.2285765 447.3411512 820.9952666 1351.123418
	 67.19736252 151.0827806 314.6934708 393.0260497 541.6602492 698.7653774
	7 6	
	 6.557843924 8.056881905 12.05696917 13.05540133 14.05528069 14.0554781
	 6.917057037 7.894293785 8.90113163 8.923627853 7.872078419 7.054741859
	 7.053432465 9.054530144 10.05495453 10.05588436 8.057542801 7.053991318
	 5.056399822 8.05677247 10.05758858 10.05385256 10.05694532 10.05619049
	 4.055590153 6.055305004 9.873688698 10.05169249 10.05467415 10.79036427
	 4.053963661 4.964295387 10.05397415 9.867030144 10.05098534 12.05548573
	 6.056747913 8.056879282 9.056859493 9.051440716 8.055457115 10.05656338
	7 6	
	 37.96103668 35.67424774 59.1588459 55.94469452 56.80810928 57.4229126
	 49.78132629 50.85173321 57.40900517 57.14706993 62.80093575 64.45444775
	 71.89295387 98.22596073 100.0157185 99.53360653 99.65607071 99.97357655
	 21.0677557 21.3740654 36.49035358 21.23811722 20.05290794 29.17740059
	 16.13193512 27.46025085 36.21697807 56.40174866 67.84883404 71.6041851
	 13.801651 18.90283203 32.12050629 77.69216728 98.69177246 100.3798819
	 13.84603691 21.499753 32.69292927 42.3443017 49.10574389 56.64058924
	
